Quintile,Job,Value,Year
3,Massage Therapists,100,2007
3,Dental Laboratory Technicians,100,2007
3,Medical Appliance Technicians,100,2007
3,Mechanical Door Repairers,100,2007
3,Engine and Other Machine Assemblers,100,2007
3,Correspondence Clerks,100,2007
3,Pipelayers,100,2007
3,"Electric Motor, Power Tool, and Related Repairers",100,2007
3,"Police, Fire, and Ambulance Dispatchers",100,2007
3,"Welders, Cutters, Solderers, and Brazers",100,2007
3,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",100,2007
3,"Bus Drivers, Transit and Intercity",100,2007
3,"Education, Training, and Library Workers, All Other",100,2007
3,"Computer, Automated Teller, and Office Machine Repairers",100,2007
3,Automotive Service Technicians and Mechanics,100,2007
3,Carpet Installers,100,2007
3,Costume Attendants,100,2007
3,First-Line Supervisors of Retail Sales Workers,100,2007
3,Bailiffs,100,2007
3,"rc_Installation, Maintenance, and Repair Workers, All Other/Wind Turbine Service Technicians",100,2007
3,Desktop Publishers,100,2007
3,Tile and Marble Setters,100,2007
3,Plasterers and Stucco Masons,100,2007
3,Social Science Research Assistants,100,2007
3,Dredge Operators,100,2007
3,Drywall and Ceiling Tile Installers,100,2007
3,Medical and Clinical Laboratory Technicians,100,2007
3,Flight attendants,100,2007
3,"Information and Record Clerks, All Other",100,2007
3,Prepress technicians and workers,100,2007
3,"Directors, Religious Activities and Education",100,2007
3,"Material Moving Workers, All Other",100,2007
3,Stonemasons,100,2007
3,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",100,2007
3,"Human Resources Assistants, Except Payroll and Timekeeping",100,2007
3,Locksmiths and Safe Repairers,100,2007
3,Hazardous Materials Removal Workers,100,2007
3,Glaziers,100,2007
3,Watch Repairers,100,2007
3,Payroll and Timekeeping Clerks,100,2007
3,Broadcast Technicians,100,2007
3,Camera and Photographic Equipment Repairers,100,2007
3,Choreographers,100,2007
3,Sailors and Marine Oilers,100,2007
3,Heavy and Tractor-Trailer Truck Drivers,100,2007
3,Museum Technicians and Conservators,100,2007
3,Procurement Clerks,100,2007
3,Excavating and Loading Machine and Dragline Operators,100,2007
3,Automotive Body and Related Repairers,100,2007
3,Traffic Technicians,100,2007
3,Computer Operators,100,2007
3,Substance Abuse and Behavioral Disorder Counselors,100,2007
3,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",100,2007
3,Fabric and Apparel Patternmakers,100,2007
3,"Extraction Workers, All Other",100,2007
3,Metal-Refining Furnace Operators and Tenders,100,2007
3,Correctional Officers and Jailers,100,2007
3,Real Estate Sales Agents,100,2007
3,"Insulation Workers, Mechanical",100,2007
4,Credit Counselors,100,2007
4,"rc_Ophthalmic Medical Technicians/Genetic Counselors/Hearing Aid Specialists/Health Technologists and Technicians, All Other",100,2007
4,Machinists,100,2007
4,"Painters, Transportation Equipment",100,2007
4,Surveying and Mapping Technicians,100,2007
4,Cargo and Freight Agents,100,2007
4,Biological Technicians,100,2007
4,Terrazzo Workers and Finishers,100,2007
4,Statistical Assistants,100,2007
4,"Patternmakers, Wood",100,2007
4,Carpenters,100,2007
4,Hoist and Winch Operators,100,2007
4,Mental Health and Substance Abuse Social Workers,100,2007
4,Athletes and Sports Competitors,100,2007
4,Mental Health Counselors,100,2007
4,"Communications Equipment Operators, All Other",100,2007
4,"Camera Operators, Television, Video, and Motion Picture",100,2007
4,"Eligibility Interviewers, Government Programs",100,2007
4,"Maintenance Workers, Machinery",100,2007
4,"Earth Drillers, Except Oil and Gas",100,2007
4,Security and Fire Alarm Systems Installers,100,2007
4,Tire Builders,100,2007
4,"Rail Yard Engineers, Dinkey Operators, and Hostlers",100,2007
4,"Environmental Science and Protection Technicians, Including Health",100,2007
4,"Refractory Materials Repairers, Except Brickmasons",100,2007
4,"Child, Family, and School Social Workers",100,2007
4,Licensed Practical and Licensed Vocational Nurses,100,2007
4,Graduate Teaching Assistants,100,2007
4,Surgical Technologists,100,2007
4,Audio and Video Equipment Technicians,100,2007
4,Operating Engineers and Other Construction Equipment Operators,100,2007
4,"Title Examiners, Abstractors, and Searchers",100,2007
4,"Service Unit Operators, Oil, Gas, and Mining",100,2007
4,"rc_Community and social service specialists, all other/Health Educators/Community Health Workers",100,2007
4,"Layout Workers, Metal and Plastic",100,2007
4,Radio Operators,100,2007
4,Athletic Trainers,100,2007
4,Actors,100,2007
4,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",100,2007
4,Legal Secretaries,100,2007
4,Agricultural Inspectors,100,2007
4,Embalmers,100,2007
4,Recreational Therapists,100,2007
4,Bus and Truck Mechanics and Diesel Engine Specialists,100,2007
4,Brokerage Clerks,100,2007
4,"Patternmakers, Metal and Plastic",100,2007
4,Chefs and Head Cooks,100,2007
4,Riggers,100,2007
4,Water and Wastewater Treatment Plant and System Operators,100,2007
4,"rc_Teachers and Instructors, All Other/Substitute Teachers/Special Education Teachers, All Other",100,2007
4,Chemical Technicians,100,2007
4,"Life, Physical, and Social Science Technicians, All Other",100,2007
4,Sheet Metal Workers,100,2007
4,Audio-Visual and Multimedia Collections Specialists,100,2007
4,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",100,2007
4,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",100,2007
4,"Production, Planning, and Expediting Clerks",100,2007
4,"Counselors, All Other",100,2007
4,"Radio, Cellular, and Tower Equipment Installers and Repairers",100,2007
4,"Education Administrators, Preschool and Childcare Center/Program",100,2007
4,Clergy,100,2007
4,"Tank Car, Truck, and Ship Loaders",100,2007
4,Graphic Designers,100,2007
4,Medical Equipment Repairers,100,2007
4,"Pump Operators, Except Wellhead Pumpers",100,2007
4,"Fine Artists, Including Painters, Sculptors, and Illustrators",100,2007
4,Locomotive Firers,100,2007
4,Survey Researchers,100,2007
4,"Media and Communication Workers, All Other",100,2007
4,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",100,2007
4,Firefighters,100,2007
4,Tapers,100,2007
4,"Designers, All Other",100,2007
4,Environmental Engineering Technicians,100,2007
4,Interpreters and Translators,100,2007
4,Wellhead Pumpers,100,2007
4,Private Detectives and Investigators,100,2007
4,"Meeting, Convention, and Event Planners",100,2007
4,"First-Line Supervisors of Protective Service Workers, All Other",100,2007
4,"Model Makers, Metal and Plastic",100,2007
4,Reinforcing Iron and Rebar Workers,100,2007
4,Rail-Track Laying and Maintenance Equipment Operators,100,2007
4,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",100,2007
4,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",100,2007
4,Bridge and Lock Tenders,100,2007
4,"Mobile Heavy Equipment Mechanics, Except Engines",100,2007
4,"Drafters, All Other",100,2007
4,Structural Iron and Steel Workers,100,2007
4,"Healthcare Practitioners and Technical Workers, All Other",100,2007
4,Advertising Sales Agents,100,2007
4,Sound Engineering Technicians,100,2007
4,Computer support specialists,100,2007
4,Brickmasons and Blockmasons,100,2007
4,Marriage and Family Therapists,100,2007
4,Farm and Home Management Advisors,100,2007
4,Respiratory Therapy Technicians,100,2007
4,Lodging Managers,100,2007
4,"Mining Machine Operators, All Other",100,2007
4,Commercial Divers,100,2007
4,"Derrick Operators, Oil and Gas",100,2007
4,Industrial Machinery Mechanics,100,2007
4,rc_Law clerks/Paralegals and legal assistants/Judicial Law Clerks,100,2007
4,Tool and Die Makers,100,2007
4,Chemical Equipment Operators and Tenders,100,2007
4,Crane and Tower Operators,100,2007
4,Archivists,100,2007
4,Music Directors and Composers,100,2007
4,Occupational Health and Safety Technicians,100,2007
4,Executive Secretaries and Executive Administrative Assistants,100,2007
4,Civil Engineering Technicians,100,2007
4,Interior Designers,100,2007
4,Architectural and Civil Drafters,100,2007
4,Aircraft Cargo Handling Supervisors,100,2007
4,Mine Cutting and Channeling Machine Operators,100,2007
4,Food Service Managers,100,2007
4,"Vocational Education Teachers, Postsecondary",100,2007
4,Fish and Game Wardens,100,2007
4,Airfield Operations Specialists,100,2007
4,Court Reporters,100,2007
4,Insurance Sales Agents,100,2007
4,Probation Officers and Correctional Treatment Specialists,100,2007
4,"Loading Machine Operators, Underground Mining",100,2007
4,Pile-Driver Operators,100,2007
4,Rail Car Repairers,100,2007
4,Adult Basic and Secondary Education and Literacy Teachers and Instructors,100,2007
4,"Explosives Workers, Ordnance Handling Experts, and Blasters",100,2007
4,Musicians and Singers,100,2007
4,"Plumbers, Pipefitters, and Steamfitters",100,2007
4,"Rotary Drill Operators, Oil and Gas",100,2007
4,Gaming Supervisors,100,2007
4,First-Line Supervisors of Office and Administrative Support Workers,100,2007
4,Millwrights,100,2007
4,Appraisers and Assessors of Real Estate,100,2007
4,Curators,100,2007
4,Healthcare Social Workers,100,2007
4,Electricians,100,2007
4,Set and Exhibit Designers,100,2007
4,Mechanical Drafters,100,2007
4,"Tax Examiners and Collectors, and Revenue Agents",100,2007
4,"rc_Therapists, All Other/Exercise Physiologists",100,2007
4,"Sales Representatives, Services, All Other",100,2007
4,"Control and Valve Installers and Repairers, Except Mechanical Door",100,2007
4,Industrial Engineering Technicians,100,2007
4,Gas Compressor and Gas Pumping Station Operators,100,2007
4,"Electrical and Electronics Installers and Repairers, Transportation Equipment",100,2007
4,Film and Video Editors,100,2007
4,"Railroad Brake, Signal, and Switch Operators",100,2007
4,Telecommunications Line Installers and Repairers,100,2007
4,"Wholesale and Retail Buyers, Except Farm Products",100,2007
4,Electro-Mechanical Technicians,100,2007
4,Continuous Mining Machine Operators,100,2007
4,Mechanical Engineering Technicians,100,2007
4,Cardiovascular Technologists and Technicians,100,2007
4,Mine Shuttle Car Operators,100,2007
4,Physical Therapist Assistants,100,2007
4,"Precision Instrument and Equipment Repairers, All Other",100,2007
4,Locomotive Engineers,100,2007
4,"rc_Morticians, Undertakers, and Funeral Directors/Funeral Service Managers",100,2007
4,Historians,100,2007
4,"Property, Real Estate, and Community Association Managers",100,2007
4,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",100,2007
4,"Legal Support Workers, All Other",100,2007
4,Geological and Petroleum Technicians,100,2007
4,Forensic Science Technicians,100,2007
4,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",100,2007
4,Postal Service Clerks,100,2007
4,"Plant and System Operators, All Other",100,2007
4,Occupational Therapy Assistants,100,2007
4,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,100,2007
4,Construction and Building Inspectors,100,2007
4,Stationary Engineers and Boiler Operators,100,2007
4,"Educational, Guidance, School, and Vocational Counselors",100,2007
4,Editors,100,2007
4,Fire Inspectors and Investigators,100,2007
4,First-Line Supervisors of Production and Operating Workers,100,2007
4,Public Relations Specialists,100,2007
4,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",100,2007
4,"Roof Bolters, Mining",100,2007
4,Chemical Plant and System Operators,100,2007
4,"Telecommunications Equipment Installers and Repairers, Except Line Installers",100,2007
4,"Social Workers, All Other",100,2007
4,Railroad Conductors and Yardmasters,100,2007
4,"Rail Transportation Workers, All Other",100,2007
4,Transit and Railroad Police,100,2007
4,Aircraft Mechanics and Service Technicians,100,2007
4,Dietitians and Nutritionists,100,2007
4,Police and Sheriff's Patrol Officers,100,2007
4,Avionics Technicians,100,2007
4,Librarians,100,2007
4,Broadcast News Analysts,100,2007
4,Signal and Track Switch Repairers,100,2007
4,"rc_Employment, recruitment, and placement specialists/Human resources, training, and labor relations specialists, all other/Labor Relations Specialists/Human Resources Specialists",100,2007
4,Electrical and Electronics Drafters,100,2007
4,"Buyers and Purchasing Agents, Farm Products",100,2007
4,Respiratory Therapists,100,2007
4,Training and development specialists,100,2007
4,Writers and Authors,100,2007
4,Foresters,100,2007
4,rc_Magnetic Resonance Imaging Technologists/Radiologic Technologists,100,2007
4,"Mathematical Science Occupations, All Other",100,2007
4,Surveyors,100,2007
4,Postal Service Mail Carriers,100,2007
4,Boilermakers,100,2007
4,Mathematical Technicians,100,2007
4,Anthropologists and Archeologists,100,2007
4,Cartographers and Photogrammetrists,100,2007
4,Medical and Clinical Laboratory Technologists,100,2007
4,Zoologists and Wildlife Biologists,100,2007
4,Electrical and Electronics Engineering Technicians,100,2007
4,First-Line Supervisors of Correctional Officers,100,2007
4,Food Scientists and Technologists,100,2007
4,Real Estate Brokers,100,2007
4,"Insurance Appraisers, Auto Damage",100,2007
4,Soil and Plant Scientists,100,2007
4,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",100,2007
4,Cost Estimators,100,2007
4,"Compensation, benefits, and job analysis specialists",100,2007
4,"Engineering Technicians, Except Drafters, All Other",100,2007
4,Commercial and Industrial Designers,100,2007
4,First-Line Supervisors of Construction Trades and Extraction Workers,100,2007
4,Emergency management specialists,100,2007
4,Loan Officers,100,2007
4,"Artists and Related Workers, All Other",100,2007
4,Social and Community Service Managers,100,2007
4,"Claims Adjusters, Examiners, and Investigators",100,2007
4,Instructional Coordinators,100,2007
4,"First-Line Supervisors of Mechanics, Installers, and Repairers",100,2007
4,Market research analysts,100,2007
4,Credit Analysts,100,2007
4,Conservation Scientists,100,2007
4,Gas Plant Operators,100,2007
